hhid,quarter,cluster,HholdID,personid,s1aq1_gender,s1aq2_ role_in_household,s2aq3_highest_level_of_education,s4aq40a_occupation,s4aq42_occupation_type_registration,s4aq44_occupation_place,s1aq4y_age,s1aq9a_tribe,s1bq5a_region of stay,s1aq5_marital_status
102813,2022Q1,28,13,1,Female,Head,Primary,MIXED CROP FARMER WITH CASSAVA AS MAJOR,Private Informal,Own land / farm,57,Akan,,Married (Customary/Traditional)
203211,2022Q2,32,11,1,Male,Head,Middle,INTER LIN3 FARMER AT BOPP,Private Formal,Factory,49,Akan,Central.,Married (Islamic)
604106,2023Q2,41,6,1,Male,Head,JSS/JHS,A COCOA FARMER FARMER,Private Informal,Own land / farm,44,Gurma,Northern.,Married (Civil/Ordinance)
406907,2022Q4,69,7,2,Female,Spouse (Wife/Husband/Living together),JSS/JHS,A CASSAVA FARMER AND MANUFACTURING OF GARI,Private Informal,Other land / farm.,33,Akan,,Married (Customary/Traditional)
107919,2022Q1,79,19,1,Male,Head,Middle,COCOA FARMER AT OKITEW,Private Informal,Own land / farm,61,Akan,Greater Accra,Married (Customary/Traditional)
107904,2022Q1,79,4,1,Male,Head,JSS/JHS,COCOA FARMER AT OKITEW,Private Informal,Own land / farm,40,Ga-Dangme,Eastern,Married (Customary/Traditional)
107919,2022Q1,79,19,2,Female,Spouse (Wife/Husband/Living together),Middle,COCOA FARMER AT OKITEW,Private Informal,Own land / farm,52,Ewe,,Married (Customary/Traditional)
308218,2022Q3,82,18,1,Male,Head,JSS/JHS,MIXED FARMER (REAR ANIMAL AND GROW CROPS,Private Informal,Own land / farm,50,Akan,Greater Accra,Married (Customary/Traditional)
714415,2023Q3,144,15,2,Male,Child (Son/Daughter),JSS/JHS,MIXED CROP FARMER MAIZE PEPPER TOMATOES,Private Informal,Own land / farm,43,Ga-Dangme,Greater Accra,Never married
615301,2023Q2,153,1,2,Female,Spouse (Wife/Husband/Living together),Primary,MIXED FARMER CULTIVATING MAIZE CASSAVA AND CHICKEN,Private Informal,Own land / farm,47,Ewe,Volta,Married (Customary/Traditional)
615311,2023Q2,153,11,1,Male,Head,SSS/SHS,MIXED FARMER CULTIVATING MAIZE AND CASSAVA AND REARING CATTLE,Private Informal,Own land / farm,29,Ewe,Volta,Never married
715301,2023Q3,153,1,1,Male,Head,Primary,MIXED FARMER CULTIVATING CASSAVA AND REARING PIGS AND GOATS,Private Informal,Own land / farm,51,Ewe,Greater Accra,Married (Customary/Traditional)
615301,2023Q2,153,1,1,Male,Head,Primary,MIXED FARMER CULTIVATING MAIZE AND PIG GOAT CHICKEN,Private Informal,Other land / farm.,50,Ewe,Greater Accra,Married (Customary/Traditional)
315811,2022Q3,158,11,1,Male,Head,Middle,MIXED FARMER CULTIVATING MAIZE CASSAVA AND REARING CHICKEN AND DUCK,Private Informal,Own land / farm,61,Ewe,,Married (Customary/Traditional)
