region,district,date,Market,source,commodity,Price,market_day,Year,month,week,Type
Central,Mfantsiman Municipal,16-07-2025,Mankessim,retail,white maize,8.66,2025-07-16,2025,7,3,retail
Central,Mfantsiman Municipal,16-07-2025,Mankessim,retail,Maize Yellow,9.485,2025-07-16,2025,7,3,retail
Central,Mfantsiman Municipal,16-07-2025,Mankessim,retail,Rice Local perfumed,20.64333333,2025-07-16,2025,7,3,retail
Central,Mfantsiman Municipal,16-07-2025,Mankessim,retail,Rice Local non perfumed,15.11,2025-07-16,2025,7,3,retail
Central,Mfantsiman Municipal,16-07-2025,Mankessim,retail,Groundnut Red,20.41333333,2025-07-16,2025,7,3,retail
Central,Mfantsiman Municipal,16-07-2025,Mankessim,retail,Soya Bean,17.82,2025-07-16,2025,7,3,retail
Greater Accra,AMA-Okaikoi South,17-07-2025,AGBOGBLOSHIE,retail,white maize,10.8,2025-07-17,2025,7,3,retail
Greater Accra,AMA-Okaikoi South,17-07-2025,AGBOGBLOSHIE,retail,Maize Yellow,11.22666667,2025-07-17,2025,7,3,retail
Greater Accra,AMA-Okaikoi South,17-07-2025,AGBOGBLOSHIE,retail,Rice Local perfumed,20.0,2025-07-17,2025,7,3,retail
Greater Accra,AMA-Okaikoi South,17-07-2025,AGBOGBLOSHIE,retail,Rice Local non perfumed,18.66666667,2025-07-17,2025,7,3,retail
Western North,Bibiani Anhwiaso Bekwai Municipal,17-07-2025,Bibiani ,retail,white maize,10.39666667,2025-07-17,2025,7,3,retail
Western North,Bibiani Anhwiaso Bekwai Municipal,17-07-2025,Bibiani ,retail,Maize Yellow,12.41333333,2025-07-17,2025,7,3,retail
Western North,Bibiani Anhwiaso Bekwai Municipal,17-07-2025,Bibiani ,retail,Rice Local perfumed,29.72,2025-07-17,2025,7,3,retail
Western North,Bibiani Anhwiaso Bekwai Municipal,17-07-2025,Bibiani ,retail,Rice Local non perfumed,22.5,2025-07-17,2025,7,3,retail
Western North,Bibiani Anhwiaso Bekwai Municipal,17-07-2025,Bibiani ,retail,Groundnut Red,32.77666667,2025-07-17,2025,7,3,retail
Western North,Bibiani Anhwiaso Bekwai Municipal,17-07-2025,Bibiani ,retail,Soya Bean,21.875,2025-07-17,2025,7,3,retail
Western North,Bibiani Anhwiaso Bekwai Municipal,17-07-2025,Bibiani ,retail,Unshelled Groundnut,22.33333333,2025-07-17,2025,7,3,retail
Bono,Sunyani Municipal,16-07-2025,Nana Bosomah,retail,white maize,6.67,2025-07-16,2025,7,3,retail
Bono,Sunyani Municipal,16-07-2025,Nana Bosomah,retail,Maize Yellow,6.67,2025-07-16,2025,7,3,retail
Bono,Sunyani Municipal,16-07-2025,Nana Bosomah,retail,Rice Local perfumed,14.81,2025-07-16,2025,7,3,retail
Bono,Sunyani Municipal,16-07-2025,Nana Bosomah,retail,Rice Local non perfumed,12.96,2025-07-16,2025,7,3,retail
Bono,Sunyani Municipal,18-07-2025,Nana Bosomah ,retail,Groundnut Red,20.0,2025-07-18,2025,7,3,retail
Bono,Sunyani Municipal,18-07-2025,Nana Bosomah ,retail,Soya Bean,12.5,2025-07-18,2025,7,3,retail
Bono,Sunyani Municipal,18-07-2025,Nana Bosomah ,retail,Unshelled Groundnut,11.54,2025-07-18,2025,7,3,retail
Greater Accra,TMA-Tema East,14-07-2025,TEMA COMMUNITY ONE MAIN MARKET,retail,white maize,12.0,2025-07-14,2025,7,2,retail
Greater Accra,TMA-Tema East,14-07-2025,TEMA COMMUNITY ONE MAIN MARKET,retail,Maize Yellow,13.33,2025-07-14,2025,7,2,retail
Greater Accra,TMA-Tema East,14-07-2025,TEMA COMMUNITY ONE MAIN MARKET,retail,Rice Local perfumed,22.66666667,2025-07-14,2025,7,2,retail
Greater Accra,TMA-Tema East,14-07-2025,TEMA COMMUNITY ONE MAIN MARKET,retail,Groundnut Red,38.66666667,2025-07-14,2025,7,2,retail
Greater Accra,TMA-Tema East,14-07-2025,TEMA COMMUNITY ONE MAIN MARKET,retail,Soya Bean,20.0,2025-07-14,2025,7,2,retail
Volta,Ho Municipal,15-07-2025,Ho Central market,retail,white maize,9.1775,2025-07-15,2025,7,3,retail
Volta,Ho Municipal,15-07-2025,Ho Central market,retail,Maize Yellow,8.93,2025-07-15,2025,7,3,retail
Volta,Ho Municipal,15-07-2025,Ho Central market,retail,Rice Local perfumed,17.55,2025-07-15,2025,7,3,retail
Volta,Ho Municipal,15-07-2025,Ho Central market,retail,Groundnut Red,24.0,2025-07-15,2025,7,3,retail
Volta,Ho Municipal,15-07-2025,Ho Central market,retail,Soya Bean,14.58,2025-07-15,2025,7,3,retail
Bono East,Kintampo North Municipal,20-07-2025,Kintampo,retail,white maize,7.596666667,2025-07-20,2025,7,3,retail
Bono East,Kintampo North Municipal,20-07-2025,Kintampo,retail,Maize Yellow,7.41,2025-07-20,2025,7,3,retail
